ID,Umur,Pendidikan,Pendapatan,Status Nikah
96,42.0,S1,NaN,Belum
97,29.0,SMA,NaN,Belum
98,31.0,SMA,NaN,Kawin
99,NaN,D3,6586587.0,Belum
100,38.0,D3,7044966.0,Kawin
101,NaN,SMA,NaN,Kawin
102,24.0,S1,6743624.0,Kawin
103,21.0,SMA,5686878.0,NaN
104,51.0,D3,7938022.0,Belum
105,29.0,S2,10038128.0,Belum
106,42.0,SMA,NaN,Belum
107,39.0,SMA,5705240.0,Belum
108,63.0,SMA,6125761.0,Kawin
109,64.0,SMA,6147084.0,Kawin
110,NaN,SMA,NaN,Belum
111,19.0,SMA,7013528.0,NaN
112,30.0,SMA,NaN,Kawin
113,46.0,S1,NaN,NaN
114,64.0,S1,11246406.0,Kawin
115,78.0,SMA,7305929.0,Belum
116,50.0,SMA,4855886.0,NaN
117,35.0,D3,NaN,Kawin
118,40.0,S2,13364607.0,Belum
119,44.0,D3,NaN,NaN
120,76.0,SMA,NaN,Belum
121,59.0,S2,12658990.0,Belum
122,60.0,SMA,5913201.0,Kawin
123,62.0,SMA,6224793.0,Kawin
124,24.0,SMA,5501840.0,Belum
125,78.0,S1,8253315.0,Belum
126,61.0,S2,11466767.0,Kawin
127,41.0,S1,NaN,Belum
128,51.0,S2,11159728.0,NaN
129,NaN,SMA,6834940.0,Kawin
130,28.0,SMA,NaN,Belum
131,41.0,SMA,6506281.0,NaN
132,41.0,SMA,4196673.0,NaN
133,65.0,SMA,NaN,Belum
134,68.0,D3,NaN,Belum
135,69.0,SMA,6898833.0,Kawin
136,69.0,S1,NaN,Belum
137,61.0,S2,14720499.0,NaN
138,25.0,S1,9485499.0,Belum
139,77.0,S1,7272646.0,NaN
140,43.0,S1,8539814.0,Kawin
141,53.0,SMA,6848553.0,Belum
142,33.0,S2,12356227.0,Belum
143,20.0,SMA,5868907.0,Kawin
144,55.0,SMA,7488622.0,Belum
145,55.0,SMA,NaN,Kawin
146,NaN,SMA,4806420.0,Kawin
147,57.0,S1,7674933.0,Kawin
148,76.0,SMA,6609257.0,Belum
149,NaN,SMA,4482602.0,Kawin
150,37.0,S2,12898639.0,Kawin
151,51.0,D3,6798186.0,Belum
152,70.0,D3,6532888.0,NaN
153,73.0,S2,10686657.0,Kawin
154,74.0,SMA,5812121.0,Kawin
155,74.0,SMA,5361411.0,NaN
156,43.0,D3,6162155.0,Kawin
157,49.0,SMA,NaN,NaN
158,51.0,S1,9815591.0,Belum
159,21.0,D3,8200242.0,Belum
160,61.0,SMA,NaN,Kawin
161,70.0,S1,6944238.0,Belum
162,43.0,D3,NaN,Kawin
163,57.0,SMA,5913097.0,Belum
164,33.0,D3,7444515.0,Belum
165,NaN,D3,NaN,Kawin
166,62.0,SMA,6498279.0,Kawin
167,20.0,SMA,6848357.0,Kawin
168,24.0,SMA,7233096.0,NaN
169,NaN,S1,NaN,Kawin
170,21.0,SMA,NaN,Belum
171,33.0,SMA,7191236.0,Kawin
172,NaN,D3,8377825.0,NaN
173,66.0,D3,6316741.0,NaN
174,68.0,D3,NaN,Kawin
175,31.0,SMA,6785237.0,Belum
176,20.0,SMA,6264560.0,Belum
177,33.0,SMA,6307252.0,Kawin
178,29.0,SMA,NaN,Kawin
179,27.0,SMA,5118998.0,Kawin
180,19.0,S1,9585207.0,Kawin
181,48.0,SMA,5575793.0,Kawin
182,37.0,D3,6707127.0,Kawin
183,28.0,SMA,6045979.0,NaN
184,25.0,SMA,4173758.0,Kawin
185,38.0,SMA,NaN,Belum
186,65.0,D3,7279030.0,Belum
187,63.0,SMA,7899313.0,Kawin
188,40.0,S1,NaN,Kawin
189,75.0,SMA,6461245.0,Kawin
190,63.0,SMA,6249000.0,Belum
191,NaN,D3,NaN,Kawin
192,26.0,D3,6595458.0,Belum
193,38.0,SMA,7349713.0,Belum
194,61.0,SMA,6705311.0,Kawin
195,38.0,D3,NaN,NaN
196,57.0,SMA,7265630.0,Belum
197,50.0,SMA,4336697.0,Belum
198,69.0,SMA,5982820.0,Kawin
199,71.0,SMA,6637987.0,Kawin
200,70.0,SMA,NaN,Kawin
201,67.0,S1,9343176.0,Kawin
202,NaN,S1,NaN,NaN
203,70.0,S1,NaN,Kawin
204,17.0,D3,6685215.0,NaN
205,53.0,D3,7302037.0,Kawin
206,NaN,SMA,6381462.0,Kawin
207,39.0,D3,8126616.0,Kawin
208,79.0,D3,6487381.0,Belum
209,NaN,SMA,NaN,Kawin
210,21.0,S1,9557419.0,Belum
211,30.0,S2,13002151.0,Belum
212,76.0,S1,8772950.0,Kawin
213,57.0,S1,NaN,NaN
214,35.0,D3,7975493.0,Kawin
215,20.0,SMA,7367433.0,Kawin
216,56.0,SMA,NaN,Kawin
217,54.0,D3,NaN,Kawin
218,63.0,SMA,4736383.0,Kawin
219,56.0,SMA,4168750.0,Kawin
220,67.0,SMA,NaN,NaN
221,31.0,S1,11046989.0,Kawin
222,45.0,SMA,NaN,Kawin
223,NaN,S1,8577450.0,NaN
224,21.0,S1,8489614.0,Kawin
225,54.0,D3,6720573.0,NaN
226,31.0,S1,6364182.0,Kawin
227,63.0,SMA,7064350.0,Belum
228,43.0,SMA,NaN,Kawin
229,26.0,SMA,5674444.0,Kawin
230,59.0,SMA,4838236.0,Kawin
231,78.0,SMA,6694279.0,Kawin
232,60.0,D3,NaN,NaN
233,72.0,SMA,NaN,Kawin
234,25.0,SMA,NaN,Belum
235,56.0,S1,8247097.0,Kawin
236,39.0,S2,11256916.0,Belum
237,71.0,SMA,4733274.0,Belum
238,NaN,S1,10698579.0,NaN
239,57.0,SMA,6841426.0,NaN
240,23.0,SMA,NaN,Belum
241,33.0,D3,7971688.0,Kawin
242,69.0,S2,9705353.0,NaN
243,79.0,SMA,5462025.0,Kawin
244,33.0,S2,11017335.0,Kawin
245,NaN,S1,7392445.0,Kawin
246,48.0,SMA,6119112.0,Belum
247,75.0,S1,NaN,NaN
248,45.0,SMA,NaN,Kawin
249,34.0,SMA,6187851.0,Kawin
250,65.0,SMA,7454415.0,NaN
251,79.0,SMA,5545824.0,NaN
252,26.0,SMA,5822782.0,Belum
253,76.0,S1,NaN,Kawin
254,19.0,SMA,NaN,Belum
255,77.0,D3,8312560.0,Belum
256,44.0,SMA,4495446.0,Kawin
257,48.0,S2,NaN,Belum
258,68.0,D3,7920324.0,Kawin
259,47.0,SMA,NaN,Belum
260,NaN,SMA,5427219.0,Kawin
261,52.0,D3,NaN,Belum
262,27.0,SMA,6209550.0,Kawin
263,39.0,SMA,5619575.0,Belum
264,25.0,SMA,6812549.0,Kawin
265,68.0,S2,NaN,Kawin
266,75.0,S1,NaN,Belum
267,33.0,SMA,7361143.0,Belum
268,41.0,SMA,6070159.0,Kawin
269,59.0,SMA,6882420.0,Belum
270,37.0,S1,NaN,Kawin
271,50.0,D3,8529155.0,NaN
272,58.0,SMA,6378077.0,Kawin
273,47.0,S1,10944640.0,Belum
274,23.0,D3,NaN,Belum
275,37.0,SMA,5500145.0,Kawin
276,59.0,SMA,NaN,Kawin
277,67.0,SMA,NaN,Kawin
278,65.0,S1,8041873.0,Belum
279,70.0,SMA,NaN,Belum
280,49.0,SMA,6147868.0,NaN
281,35.0,D3,7494663.0,Kawin
282,50.0,D3,6841231.0,Kawin
283,25.0,SMA,5972009.0,Belum
284,NaN,SMA,NaN,NaN
285,66.0,S1,7694662.0,NaN
286,NaN,SMA,6743586.0,Belum
287,65.0,SMA,NaN,Kawin
288,78.0,S2,12931008.0,Belum
289,47.0,S1,NaN,Belum
290,41.0,S2,NaN,NaN
291,NaN,S2,12644427.0,Kawin
292,NaN,SMA,NaN,Kawin
293,31.0,D3,7946639.0,Belum
294,39.0,S1,8744073.0,Belum
295,68.0,S1,10125940.0,NaN
296,47.0,SMA,NaN,NaN
297,61.0,SMA,NaN,Belum
298,60.0,D3,NaN,NaN
299,20.0,S1,10238213.0,NaN
300,NaN,S1,7217327.0,Kawin
301,NaN,S1,NaN,Belum
302,55.0,SMA,6037613.0,Kawin
303,65.0,SMA,NaN,Belum
304,63.0,SMA,5709729.0,Kawin
305,79.0,SMA,5301895.0,Kawin
306,30.0,SMA,6634926.0,Belum
307,34.0,SMA,5972252.0,NaN
308,40.0,SMA,6187371.0,Belum
309,53.0,S1,8801132.0,NaN
310,62.0,D3,6674415.0,Belum
311,50.0,SMA,NaN,Belum
312,NaN,SMA,6393961.0,Kawin
313,NaN,SMA,6444301.0,Kawin
314,21.0,D3,6877129.0,Kawin
315,25.0,S2,14130756.0,Belum
316,40.0,S1,8315104.0,NaN
317,29.0,SMA,7885901.0,Kawin
318,50.0,SMA,6750270.0,Kawin
319,75.0,SMA,NaN,Belum
320,21.0,S1,NaN,Kawin
321,76.0,SMA,NaN,Kawin
322,22.0,S2,NaN,Kawin
323,44.0,SMA,5986861.0,Kawin
324,45.0,S2,NaN,Kawin
325,56.0,D3,5860603.0,Belum
326,35.0,S1,9555058.0,Kawin
327,75.0,S1,NaN,Belum
328,58.0,SMA,6405819.0,NaN
329,76.0,SMA,5703741.0,Belum
330,47.0,SMA,5333152.0,NaN
331,29.0,D3,7691099.0,Belum
332,47.0,SMA,6037149.0,NaN
333,NaN,S1,NaN,Kawin
334,48.0,S1,8518344.0,Kawin
335,NaN,S2,11330349.0,NaN
336,NaN,S1,9232907.0,Belum
337,70.0,SMA,NaN,Belum
338,63.0,S2,12191704.0,Belum
339,51.0,D3,NaN,NaN
340,NaN,SMA,NaN,Belum
341,74.0,SMA,NaN,Belum
342,51.0,SMA,5020051.0,NaN
343,71.0,S1,10000902.0,NaN
344,36.0,D3,7005296.0,Kawin
345,33.0,S2,9229841.0,Kawin
346,54.0,SMA,5546664.0,Kawin
347,65.0,D3,8450502.0,Kawin
348,NaN,SMA,5725619.0,Kawin
349,45.0,S1,9683720.0,Belum
350,19.0,S1,NaN,NaN
351,40.0,S2,13873802.0,Kawin
352,30.0,D3,7991404.0,Belum
353,36.0,SMA,5967873.0,Kawin
354,70.0,SMA,4855379.0,Kawin
355,NaN,SMA,5778480.0,Kawin
356,34.0,SMA,5979688.0,NaN
357,NaN,D3,7757996.0,Belum
358,57.0,SMA,6375293.0,NaN
359,48.0,SMA,NaN,Kawin
360,56.0,SMA,5928243.0,NaN
361,18.0,D3,7028891.0,NaN
362,54.0,D3,NaN,Belum
363,66.0,S1,9122116.0,Belum
364,77.0,S1,8671161.0,Kawin
365,22.0,D3,5966251.0,Belum
366,24.0,S1,NaN,NaN
367,78.0,D3,9615755.0,NaN
368,22.0,S1,8753694.0,Kawin
369,19.0,SMA,NaN,Belum
370,NaN,SMA,NaN,Kawin
371,61.0,D3,7146573.0,Belum
372,NaN,S1,NaN,Belum
373,NaN,SMA,6404792.0,Kawin
374,44.0,SMA,4402070.0,Belum
375,NaN,SMA,NaN,Kawin
376,37.0,S1,8496120.0,Belum
377,36.0,D3,8373783.0,Kawin
378,NaN,S1,9921748.0,Kawin
379,52.0,SMA,7254967.0,Kawin
380,52.0,SMA,4765169.0,Kawin
381,67.0,SMA,NaN,Kawin
382,37.0,S1,7141464.0,Kawin
383,24.0,SMA,7327958.0,Kawin
384,18.0,SMA,NaN,Belum
385,61.0,SMA,5840048.0,Kawin
386,55.0,SMA,5321981.0,Kawin
387,22.0,D3,6626049.0,Belum
388,21.0,SMA,NaN,Belum
389,72.0,SMA,5386437.0,Belum
390,70.0,SMA,5391880.0,Kawin
391,26.0,D3,NaN,Kawin
392,28.0,S1,NaN,NaN
393,36.0,SMA,NaN,Kawin
394,65.0,S1,10446829.0,NaN
395,44.0,S1,10900804.0,Kawin
396,30.0,SMA,7846233.0,Kawin
397,36.0,SMA,5010126.0,NaN
398,75.0,SMA,NaN,NaN
399,30.0,D3,7019053.0,Belum
400,78.0,S2,8317312.0,Belum
401,73.0,D3,NaN,Kawin
402,54.0,SMA,NaN,NaN
403,61.0,SMA,NaN,Kawin
404,37.0,SMA,6096471.0,Belum
405,48.0,SMA,5917724.0,Kawin
406,42.0,S1,8967846.0,Kawin
407,28.0,SMA,6494422.0,Belum
408,NaN,D3,7641036.0,Kawin
409,44.0,SMA,4709225.0,Belum
410,NaN,S1,10117211.0,Belum
411,29.0,SMA,NaN,Belum
412,20.0,D3,NaN,NaN
413,34.0,S1,NaN,Kawin
414,78.0,D3,NaN,NaN
415,31.0,D3,8671580.0,Kawin
416,45.0,SMA,7622685.0,Kawin
417,65.0,SMA,NaN,Kawin
418,30.0,D3,NaN,NaN
419,19.0,D3,5869326.0,NaN
420,59.0,S1,9205165.0,Belum
421,66.0,S1,10582517.0,NaN
422,32.0,D3,7586859.0,NaN
423,NaN,D3,NaN,Kawin
424,35.0,SMA,NaN,Kawin
425,NaN,D3,8022418.0,Kawin
426,24.0,SMA,6165475.0,Belum
427,34.0,SMA,NaN,NaN
428,55.0,D3,7563165.0,Belum
429,72.0,S1,8012854.0,Belum
430,60.0,SMA,5879726.0,Belum
431,75.0,SMA,6197998.0,Kawin
432,42.0,SMA,7800363.0,Belum
433,74.0,SMA,6141209.0,Kawin
434,43.0,S1,9318484.0,Kawin
435,NaN,S1,NaN,Belum
436,26.0,SMA,NaN,Kawin
437,NaN,SMA,5935792.0,Kawin
438,38.0,SMA,6874616.0,Belum
439,44.0,SMA,NaN,Belum
440,NaN,SMA,6602161.0,NaN
441,NaN,D3,6882187.0,Kawin
442,57.0,D3,NaN,Belum
443,76.0,S1,7021101.0,Belum
444,61.0,SMA,6836588.0,Kawin
445,49.0,D3,5812750.0,Kawin
446,55.0,SMA,NaN,Kawin
447,18.0,D3,7696167.0,Kawin
448,24.0,D3,6898112.0,NaN
449,77.0,SMA,4800330.0,NaN
450,NaN,SMA,4936285.0,Kawin
451,60.0,SMA,6088392.0,Belum
452,71.0,D3,7877961.0,Kawin
453,73.0,S1,8975977.0,Kawin
454,39.0,SMA,6306889.0,Kawin
455,21.0,S1,NaN,Belum
456,36.0,D3,8289315.0,NaN
457,NaN,S1,9186512.0,Kawin
458,77.0,SMA,7972587.0,Kawin
459,NaN,SMA,NaN,Kawin
460,17.0,SMA,5047481.0,Kawin
461,39.0,S2,12547951.0,Kawin
462,68.0,SMA,7121657.0,Belum
463,58.0,D3,NaN,Kawin
464,30.0,S1,10300301.0,Belum
465,68.0,S1,8479067.0,Belum
466,34.0,D3,NaN,Belum
467,41.0,SMA,6729899.0,Kawin
468,32.0,S1,7082745.0,NaN
469,19.0,S2,12765418.0,Kawin
470,37.0,SMA,6798250.0,Kawin
471,NaN,SMA,5670342.0,Kawin
472,47.0,D3,7801695.0,Kawin
473,NaN,S1,7012280.0,Kawin
474,21.0,S1,10507723.0,Kawin
475,18.0,SMA,6516734.0,Kawin
476,39.0,SMA,7099447.0,Kawin
477,NaN,S1,8076277.0,NaN
478,49.0,D3,6939544.0,Belum
479,33.0,SMA,5525737.0,NaN
480,54.0,SMA,5594133.0,Kawin
481,68.0,SMA,4981740.0,Kawin
482,38.0,S1,NaN,Belum
483,38.0,S2,11149211.0,Kawin
484,54.0,SMA,NaN,NaN
485,74.0,SMA,4773811.0,Belum
486,61.0,S2,13549432.0,Belum
487,NaN,SMA,4889643.0,Belum
488,37.0,S1,8085310.0,Kawin
489,42.0,SMA,5688322.0,Belum
490,51.0,SMA,6443066.0,Kawin
491,54.0,SMA,NaN,Belum
492,18.0,SMA,5415454.0,Kawin
493,26.0,S2,NaN,Belum
494,71.0,D3,NaN,Belum
495,24.0,SMA,5900968.0,Belum
496,21.0,S1,10171378.0,Kawin
497,53.0,SMA,6874454.0,Kawin
498,NaN,S2,12863054.0,Belum
499,74.0,SMA,5138671.0,Kawin
500,70.0,S1,6865643.0,Kawin
501,54.0,SMA,6758806.0,Belum
502,56.0,D3,7534852.0,Kawin
503,66.0,SMA,NaN,Kawin
504,41.0,D3,6619538.0,Kawin
505,66.0,SMA,5941544.0,Kawin
506,29.0,D3,6432983.0,NaN
507,48.0,D3,7729954.0,Kawin
508,56.0,SMA,5273358.0,Kawin
509,41.0,SMA,6252032.0,Belum
510,67.0,S1,8800340.0,Belum
511,51.0,D3,8246187.0,NaN
512,63.0,SMA,5711845.0,Belum
513,37.0,S2,12558743.0,Kawin
514,48.0,SMA,NaN,Kawin
515,NaN,SMA,NaN,Kawin
516,NaN,S1,NaN,Belum
517,47.0,SMA,5660640.0,NaN
518,53.0,D3,6559851.0,Kawin
519,79.0,SMA,NaN,Kawin
520,24.0,SMA,6164021.0,Kawin
521,17.0,S1,NaN,Kawin
522,58.0,D3,8110244.0,NaN
523,37.0,S1,7564940.0,Kawin
524,29.0,D3,NaN,Kawin
525,58.0,S1,7260172.0,Kawin
526,71.0,SMA,NaN,Kawin
527,74.0,SMA,NaN,Belum
528,51.0,SMA,5680291.0,Belum
529,NaN,D3,8666548.0,NaN
530,71.0,S1,8312402.0,Kawin
531,19.0,SMA,7233687.0,Kawin
532,78.0,SMA,7604874.0,Kawin
533,35.0,SMA,5994365.0,Kawin
534,38.0,D3,NaN,NaN
535,74.0,S1,9106088.0,Kawin
536,52.0,SMA,NaN,Belum
537,49.0,SMA,NaN,Belum
538,27.0,S1,7361445.0,NaN
539,49.0,SMA,NaN,Kawin
540,22.0,S2,12873146.0,Belum
541,55.0,D3,6246651.0,Kawin
542,66.0,SMA,NaN,Belum
543,46.0,S1,9169063.0,Kawin
544,69.0,SMA,NaN,Belum
545,42.0,S1,8557403.0,NaN
546,26.0,S2,12602656.0,Belum
547,42.0,SMA,5977988.0,NaN
548,73.0,SMA,7417801.0,Kawin
549,62.0,D3,NaN,Belum
550,52.0,SMA,5541249.0,NaN
551,58.0,SMA,5297613.0,Belum
552,72.0,S2,10759679.0,NaN
553,47.0,SMA,5579137.0,Kawin
554,74.0,D3,7485980.0,Kawin
555,66.0,SMA,NaN,NaN
556,72.0,D3,NaN,Kawin
557,64.0,S2,11835676.0,Kawin
558,NaN,SMA,5516790.0,Belum
559,21.0,D3,7793557.0,NaN
560,41.0,S2,9965127.0,Belum
561,77.0,SMA,5658594.0,Kawin
562,23.0,D3,NaN,Kawin
563,40.0,SMA,6343053.0,NaN
564,NaN,D3,NaN,NaN
565,62.0,SMA,4986927.0,Belum
566,64.0,SMA,5953612.0,Kawin
567,32.0,SMA,6495323.0,Kawin
568,56.0,SMA,NaN,Kawin
569,51.0,SMA,5497212.0,Kawin
570,36.0,D3,8102477.0,Belum
571,68.0,D3,7823079.0,Belum
572,44.0,SMA,NaN,Belum
573,56.0,S2,11908434.0,Belum
574,49.0,SMA,5411313.0,Belum
575,55.0,D3,NaN,Belum
576,67.0,SMA,NaN,Kawin
577,24.0,SMA,NaN,Belum
578,71.0,D3,8868421.0,Kawin
579,62.0,D3,7984732.0,Belum
580,23.0,D3,6653643.0,Kawin
581,43.0,SMA,NaN,NaN
582,76.0,S1,8381139.0,Kawin
583,46.0,D3,7524219.0,Belum
584,79.0,SMA,7129776.0,Kawin
585,46.0,D3,6310988.0,Kawin
586,41.0,SMA,NaN,Kawin
587,NaN,S1,9233261.0,NaN
588,45.0,SMA,5717466.0,Belum
589,22.0,S1,8635606.0,Belum
590,60.0,SMA,4435778.0,Kawin
591,38.0,S1,7800837.0,Belum
592,72.0,SMA,5596180.0,Belum
593,51.0,SMA,NaN,Belum
594,73.0,SMA,NaN,Kawin
595,33.0,S1,9484476.0,NaN
596,36.0,S1,8970965.0,Kawin
597,51.0,D3,NaN,Belum
598,39.0,SMA,NaN,Kawin
599,74.0,D3,NaN,Kawin
600,NaN,SMA,5457804.0,NaN
601,52.0,S1,NaN,Belum
602,34.0,D3,8167460.0,NaN
603,43.0,D3,NaN,Kawin
604,NaN,SMA,5220376.0,Kawin
605,35.0,S2,NaN,NaN
606,40.0,SMA,5245947.0,Belum
607,38.0,S1,NaN,NaN
608,25.0,S1,8688543.0,Belum
609,30.0,S1,NaN,Kawin
610,63.0,SMA,5578595.0,NaN
611,NaN,D3,7276534.0,Kawin
612,72.0,SMA,5720546.0,NaN
613,69.0,SMA,6840088.0,Kawin
614,NaN,S1,7963258.0,Belum
615,77.0,D3,7395550.0,Belum
616,46.0,SMA,5864942.0,NaN
617,NaN,S1,8119454.0,Belum
618,19.0,SMA,6028850.0,Belum
619,25.0,S2,13462796.0,Belum
620,17.0,SMA,6400875.0,Belum
621,56.0,SMA,7179244.0,Belum
622,42.0,SMA,NaN,Kawin
623,37.0,D3,9139964.0,Kawin
624,23.0,SMA,6593701.0,Kawin
625,28.0,SMA,NaN,Belum
626,71.0,S2,12215008.0,Kawin
627,54.0,SMA,NaN,NaN
628,42.0,S2,10019966.0,Kawin
629,NaN,S2,NaN,Kawin
630,51.0,SMA,4345716.0,Kawin
631,65.0,D3,7190790.0,Belum
632,65.0,SMA,5398274.0,Kawin
633,70.0,S2,10831272.0,NaN
634,40.0,D3,7305668.0,NaN
635,71.0,S1,11281428.0,Belum
636,29.0,S2,NaN,Kawin
637,56.0,SMA,6665079.0,Belum
638,28.0,D3,NaN,Kawin
639,42.0,S2,11275408.0,Kawin
640,39.0,SMA,6117434.0,Belum
641,NaN,SMA,5334164.0,Kawin
642,35.0,D3,5290848.0,NaN
643,65.0,SMA,5820115.0,Belum
644,79.0,D3,6849997.0,Belum
645,67.0,D3,NaN,NaN
646,36.0,D3,8258938.0,Belum
647,45.0,SMA,NaN,Kawin
648,78.0,D3,7608559.0,Kawin
649,71.0,D3,5540609.0,Belum
650,73.0,SMA,6586119.0,Kawin
651,NaN,SMA,NaN,Kawin
652,74.0,D3,8419154.0,Kawin
653,48.0,S1,NaN,Kawin
654,74.0,SMA,5445450.0,NaN
655,76.0,D3,NaN,Kawin
656,20.0,SMA,5671348.0,Belum
657,63.0,SMA,6039662.0,Belum
658,59.0,SMA,5870924.0,Belum
659,27.0,SMA,6771881.0,Kawin
660,68.0,D3,9115582.0,Kawin
661,47.0,D3,7454029.0,Kawin
662,75.0,D3,6353335.0,Kawin
663,42.0,SMA,5929309.0,Kawin
664,66.0,SMA,5703991.0,Kawin
665,69.0,SMA,5925252.0,Belum
666,20.0,S2,12343473.0,Kawin
667,45.0,SMA,NaN,NaN
668,64.0,S1,9537260.0,Belum
669,57.0,D3,NaN,Belum
670,67.0,SMA,6200361.0,Belum
671,61.0,SMA,5865484.0,Kawin
672,60.0,S1,8433491.0,Kawin
673,NaN,D3,7328137.0,Belum
674,27.0,SMA,5113468.0,NaN
675,51.0,S1,10321151.0,Belum
676,53.0,S1,11350016.0,Kawin
677,21.0,SMA,NaN,Belum
678,69.0,D3,7740924.0,NaN
679,63.0,S1,NaN,NaN
680,33.0,D3,7108351.0,Kawin
681,74.0,S2,11813073.0,Belum
682,60.0,S1,7592890.0,Kawin
683,71.0,SMA,5275414.0,NaN
684,31.0,D3,6846233.0,Belum
685,67.0,D3,NaN,Belum
686,20.0,S1,8595722.0,NaN
687,79.0,SMA,5844073.0,NaN
688,48.0,SMA,6907016.0,Kawin
689,19.0,SMA,7866595.0,Belum
690,32.0,S1,9230739.0,Belum
691,38.0,S1,NaN,Kawin
692,32.0,S1,9488462.0,Kawin
693,51.0,SMA,5571509.0,NaN
694,17.0,SMA,NaN,Belum
695,31.0,SMA,6640327.0,Belum
696,79.0,S1,NaN,Belum
697,79.0,SMA,NaN,Kawin
698,46.0,SMA,NaN,Kawin
699,24.0,SMA,4485108.0,Kawin
700,71.0,S1,9255952.0,Kawin
701,54.0,SMA,5870908.0,Kawin
702,NaN,S1,8148513.0,Kawin
703,39.0,S2,13244212.0,NaN
704,69.0,S1,8767408.0,NaN
705,NaN,S2,9520621.0,Belum
706,38.0,SMA,NaN,Belum
707,48.0,SMA,7440408.0,NaN
708,48.0,D3,NaN,Kawin
709,62.0,S1,9283898.0,NaN
710,29.0,S2,14054563.0,Belum
711,28.0,SMA,NaN,Belum
712,27.0,SMA,NaN,Kawin
713,73.0,SMA,5499047.0,Kawin
714,54.0,S1,9018454.0,Kawin
715,24.0,SMA,NaN,NaN
716,27.0,S1,7959443.0,Kawin
717,25.0,S1,NaN,Belum
718,29.0,SMA,5469023.0,Kawin
719,72.0,S2,12398043.0,Kawin
720,49.0,S2,NaN,NaN
